Nome do Produto,Categoria,Descrição,Preço Base (R$),Imposto de Importação (%),ICMS (%),IPI (%),Preço Final c/ Impostos (R$)
Memória RAM Voluptatibus 3729,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 256,05","14,9","14,39","4,18","R$ 341,75"
Memória RAM Molestiae 1138,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 776,82","9,19","15,85",6,"R$ 1.017,94"
Memória RAM Eum 8786,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 331,80","5,41","17,26","3,92","R$ 420,03"
Memória RAM Eos 9513,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 773,77","8,98","12,65","6,52","R$ 991,59"
Memória RAM Eum 5140,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 405,48","19,76","12,69","13,49","R$ 591,76"
Placa-mãe Accusamus 3115,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 733,03","15,63","12,01","13,88","R$ 1.037,38"
Placa-mãe Molestiae 8822,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.467,66","19,1","16,42","2,96","R$ 2.032,42"
Placa-mãe Perferendis 7067,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 418,96","14,96","13,98","4,71","R$ 559,94"
Placa-mãe Temporibus 2042,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.523,58","9,5","13,86","6,13","R$ 1.972,88"
Placa-mãe Aliquid 6593,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.485,25","13,32","13,15","9,97","R$ 2.026,48"
Placa-mãe Molestias 6212,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.451,44","18,54","15,69","4,51","R$ 2.013,73"
Placa-mãe Soluta 8978,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.717,33","9,56","13,26","11,79","R$ 2.311,70"
Placa-mãe Beatae 9940,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.413,00","11,97","14,65","3,21","R$ 1.834,50"
Placa-mãe Quam 7753,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.649,35","19,4","16,42","9,88","R$ 2.403,10"
Placa-mãe Esse 4650,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.176,27","14,49","14,01","12,28","R$ 1.655,95"
Placa-mãe Tenetur 3849,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.443,75","8,37","13,19","0,37","R$ 1.760,36"
Placa-mãe Temporibus 4012,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.972,69","14,17","16,61","6,83","R$ 2.714,62"
Placa-mãe Ipsam 9432,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 630,54","15,45","14,97","3,66","R$ 845,43"
Placa-mãe Corporis 91,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.817,52","17,91","17,31","11,68","R$ 2.669,94"
Placa-mãe Corrupti 3586,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 599,01","19,37","15,11","0,75","R$ 810,04"
Placa-mãe Quia 4083,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.859,70","6,82","12,8","6,97","R$ 2.354,19"
Placa-mãe Deleniti 8703,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.979,42","13,93","17,7","13,37","R$ 2.870,16"
Placa-mãe Aut 8271,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.025,46","18,6","14,68","2,39","R$ 1.391,24"
Placa-mãe Modi 7778,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.065,12","16,28","17,04","4,16","R$ 1.464,33"
Placa-mãe Maiores 8541,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.123,81","8,59","14,64","10,7","R$ 1.505,12"
Placa-mãe Maxime 3842,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 761,92","9,8","15,24","2,08","R$ 968,55"
Placa-mãe Architecto 3789,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 951,16","7,29","13,28","6,22","R$ 1.205,98"
Placa-mãe Dolorum 5422,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.222,44","11,24","13,24","6,3","R$ 1.598,71"
Placa-mãe Dignissimos 9570,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.908,31","5,29","17,28","8,64","R$ 2.503,89"
Placa-mãe Facere 7815,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.","R$ 310,02","10,28","16,52","12,8","R$ 432,79"
SSD Assumenda 6866,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 499,84","16,02","16,8","13,47","R$ 731,22"
SSD Impedit 8000,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 292,62","11,54","12,17","5,04","R$ 376,75"
SSD Esse 6625,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 620,72","17,61","17,52","14,71","R$ 930,09"
SSD Nostrum 8752,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 167,53","10,91","15,39","0,41","R$ 212,28"
SSD Esse 7023,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 238,20","11,93","12,3","5,69","R$ 309,47"
SSD Inventore 3468,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 445,55","10,06","17,28","4,17","R$ 585,94"
SSD Laudantium 6907,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 313,98","6,23","12,12","8,09","R$ 397,00"
SSD Repudiandae 5734,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 295,74","6,03","17,74","0,6","R$ 367,81"
SSD Voluptatem 509,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 767,25","7,99","12,12","2,29","R$ 939,11"
SSD Libero 2069,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 457,81","6,72","17,69","6,98","R$ 601,52"
SSD Tempora 4199,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 648,48","7,52","15,64","11,22","R$ 871,43"
SSD Expedita 1877,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 655,56","7,46","13,87","8,68","R$ 852,29"
SSD Deleniti 5112,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 524,27","18,62","14,25","14,12","R$ 770,62"
SSD Repellendus 3250,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 199,40","15,36","15,76","1,53","R$ 264,50"
SSD Quidem 4942,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 702,69","14,01","12,73","14,76","R$ 994,31"
SSD Hic 673,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 375,68","11,43","14,22","7,59","R$ 500,56"
SSD Similique 5591,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 158,22","11,3","14,94","6,5","R$ 210,02"
SSD Recusandae 5935,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 563,13","17,43","16,24","6,53","R$ 789,51"
SSD Aspernatur 8549,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 777,56","9,05","16,85","8,07","R$ 1.041,70"
SSD Eaque 7922,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 452,17","17,39","15,55","4,83","R$ 622,95"
SSD Officiis 4023,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 689,98","6,3","17,29","3,66","R$ 878,00"
SSD Accusantium 7614,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 520,40","15,02","14,02","7,41","R$ 710,09"
SSD Impedit 5326,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 268,20","8,18","16,79","5,11","R$ 348,87"
SSD Minus 9768,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 605,77","9,14","12,06","14,22","R$ 820,33"
SSD Sunt 1403,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 306,88","11,1","15,33","3,6","R$ 399,04"
HD Doloribus 7801,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 522,95","12,36","16,76","1,4","R$ 682,55"
HD Voluptate 3631,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 402,20","8,65","15,98","5,54","R$ 523,54"
HD Et 9069,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 465,46","11,38","16,48","4,96","R$ 618,22"
HD Qui 7435,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 335,46","8,77","12,72","2,89","R$ 417,25"
HD Repellendus 1959,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 571,44","19,26","16,14","2,87","R$ 790,13"
HD Laborum 7934,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 338,25","13,84","16,56","8,95","R$ 471,35"
HD Dolor 1648,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 616,31","9,44","14,17","4,53","R$ 789,74"
HD Distinctio 8752,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 263,29","5,68","12,33","4,38","R$ 322,24"
HD In 2069,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 518,93","16,29","12,62","0,18","R$ 669,89"
HD Repellendus 4659,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 434,70","11,61","13,11","0,77","R$ 545,51"
HD Quae 7828,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 257,04","5,98","14,95","8,66","R$ 333,10"
HD Quidem 879,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 275,86","17,17","17,69","1,28","R$ 375,56"
HD Numquam 4067,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 259,23","16,47","15,64","11,86","R$ 373,21"
HD Consequatur 3698,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 587,85","10,71","17,45","4,46","R$ 779,61"
HD Atque 9643,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 695,02","9,58","15,73","9,14","R$ 934,45"
HD Quas 1626,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 673,80","8,12","13,27","9,91","R$ 884,70"
HD Quia 2574,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 319,93","13,28","12,94","6,13","R$ 423,43"
HD Et 9730,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 434,96","5,49","13,73","4,24","R$ 537,00"
HD Natus 7439,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 235,59","8,5","13,59","11,87","R$ 315,60"
HD Sunt 9664,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 530,59","19,01","14,55","8,17","R$ 752,01"
HD Laborum 2442,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 654,21","17,4","12,43","2,49","R$ 865,65"
HD Modi 5040,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 497,52","17,36","17,53","6,59","R$ 703,89"
HD Eum 7680,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 544,34","15,5","17,66","7,51","R$ 765,72"
HD Quae 8091,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 418,88","13,97","17,34","11,02","R$ 596,19"
HD Aperiam 9892,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.","R$ 325,18","6,37","17,77","12,54","R$ 444,46"
Fonte Iste 9425,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 669,70","5,31","16,59","12,32","R$ 898,87"
Fonte Porro 9442,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 232,19","16,34","14,82","9,77","R$ 327,23"
Fonte Distinctio 4558,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 345,19","13,78","15,81","7,38","R$ 472,81"
Fonte Saepe 1495,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 576,01","11,13","13,93","1,57","R$ 729,40"
Fonte Sed 2635,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 463,84","15,41","13,73","14,18","R$ 664,78"
Fonte Tenetur 9013,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 229,36","6,32","13,51","1,74","R$ 278,83"
Fonte Numquam 6623,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 891,93","17,37","12,01","13,04","R$ 1.270,29"
Fonte Temporibus 7570,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 530,60","7,81","14,17","11,35","R$ 707,45"
Fonte Nisi 7243,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 807,99","8,05","15,3","13,92","R$ 1.109,13"
Fonte Eveniet 7179,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 904,68","12,27","12,17","9,45","R$ 1.211,28"
Fonte Voluptates 3921,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 767,83","9,66","12,08","6,12","R$ 981,75"
Fonte Error 3682,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 993,81","18,69","14,77","1,76","R$ 1.343,83"
Fonte Voluptates 2523,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 598,70","15,75","15,05","4,1","R$ 807,65"
Fonte Error 7906,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 984,20","8,66","15,31","5,75","R$ 1.276,70"
Fonte At 9821,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 606,59","18,19","17,18","4,14","R$ 846,25"
Fonte Dolore 6799,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 471,90","16,82","13,6","0,04","R$ 615,64"
Fonte Voluptas 4892,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 869,98","13,7","15,96","12,98","R$ 1.240,94"
Fonte Maiores 7317,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 630,86","10,18","15,31","8,15","R$ 843,08"
Fonte Repudiandae 7461,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 946,28","18,04","17,88","3,58","R$ 1.320,06"
Fonte Tempore 6275,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 386,85","16,63","12,26","11,17","R$ 541,82"
Fonte Maiores 6247,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 508,86","14,96","16,92","14,71","R$ 745,94"
Fonte Quidem 8116,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.","R$ 971,86","6,89","17,79","4,98","R$ 1.260,11"
